timesteps,episode_reward
10,22.0
20,16.0
30,13.0
31,0.0
38,16.0
43,15.0
53,16.0
63,18.0
73,18.0
83,16.0
93,25.0
103,0.0
113,19.0
123,0.0
133,17.0
136,15.0
146,16.0
156,19.0
157,0.0
160,17.0
170,35.0
180,18.0
190,17.0
200,17.0
210,16.0
220,18.0
230,16.0
235,17.0
245,14.0
255,19.0
265,14.0
275,17.0
285,17.0
295,19.0
305,17.0
315,18.0
325,34.0
335,22.0
339,0.0
349,19.0
359,17.0
369,18.0
379,0.0
389,17.0
399,16.0
409,16.0
419,18.0
429,17.0
439,16.0
449,24.0
459,17.0
468,0.0
478,17.0
488,14.0
498,15.0
503,16.0
509,17.0
519,17.0
529,17.0
533,0.0
538,16.0
548,20.0
558,17.0
568,16.0
578,17.0
588,17.0
598,15.0
608,22.0
618,23.0
628,17.0
638,16.0
645,19.0
655,18.0
665,15.0
675,18.0
685,21.0
693,16.0
703,19.0
704,0.0
714,17.0
724,19.0
734,16.0
740,18.0
750,28.0
760,18.0
768,16.0
778,22.0
788,20.0
798,17.0
804,16.0
806,0.0
816,16.0
826,17.0
829,0.0
833,16.0
843,14.0
847,16.0
857,22.0
861,0.0
871,17.0
881,16.0
890,17.0
897,16.0
907,14.0
915,16.0
923,17.0
924,0.0
932,18.0
937,18.0
947,15.0
957,15.0
967,19.0
976,17.0
986,24.0
996,16.0
997,0.0
1007,19.0
1017,18.0
1027,18.0
1037,19.0
1047,18.0
1057,15.0
1067,19.0
1077,16.0
1087,18.0
1091,17.0
1101,15.0
1111,18.0
1121,23.0
1131,18.0
1141,18.0
1146,18.0
1156,18.0
1161,15.0
1171,16.0
1181,15.0
1185,16.0
1194,18.0
1204,18.0
1214,15.0
1224,16.0
1234,15.0
1244,17.0
1251,17.0
1261,17.0
1264,17.0
1274,17.0
1284,0.0
1294,25.0
1304,18.0
1308,0.0
1318,16.0
1328,16.0
1338,15.0
1348,19.0
1351,0.0
1361,17.0
1371,30.0
1381,16.0
1388,0.0
1398,18.0
1408,15.0
1418,18.0
1428,20.0
1438,16.0
1444,18.0
1454,16.0
1456,19.0
1460,16.0
1470,17.0
1475,15.0
1479,0.0
1489,19.0
1499,18.0
1506,18.0
1507,0.0
1517,27.0
1527,15.0
1537,25.0
1547,33.0
1549,17.0
1559,17.0
1569,16.0
1579,16.0
1585,16.0
1592,15.0
1602,17.0
1611,18.0
1613,0.0
1623,22.0
1629,18.0
1639,16.0
1649,17.0
1659,18.0
1669,18.0
1672,16.0
1682,18.0
1692,16.0
1702,16.0
1712,15.0
1717,17.0
1727,17.0
1737,16.0
1741,11.0
1750,16.0
1759,18.0
1764,19.0
1774,0.0
1784,16.0
1789,16.0
1799,16.0
1809,36.0
1818,18.0
1828,18.0
1838,17.0
1848,17.0
1852,18.0
1862,19.0
1872,17.0
1882,30.0
1892,0.0
1902,16.0
1912,0.0
1921,18.0
1931,13.0
1941,15.0
1951,19.0
1961,16.0
1965,17.0
1975,16.0
1984,15.0
1986,18.0
1994,16.0
2004,14.0
2014,13.0
2024,14.0
2034,16.0
2044,15.0
2051,16.0
2053,16.0
2063,18.0
2073,17.0
2083,15.0
2093,17.0
2099,20.0
2106,16.0
2116,17.0
2119,15.0
2122,19.0
2132,17.0
2140,0.0
2150,24.0
2160,17.0
2170,17.0
2178,17.0
2184,16.0
2194,17.0
2204,18.0
2207,0.0
2217,17.0
2227,15.0
2229,17.0
2239,16.0
2249,16.0
2259,15.0
2269,15.0
2279,18.0
2289,18.0
2299,17.0
2309,26.0
2319,19.0
2329,0.0
2331,0.0
2341,18.0
2351,18.0
2361,15.0
2371,18.0
2377,0.0
2379,0.0
2389,18.0
2399,18.0
2409,16.0
2419,17.0
2424,0.0
2434,17.0
2444,0.0
2454,29.0
2457,0.0
2467,18.0
2474,0.0
2479,18.0
2489,16.0
2492,18.0
2502,18.0
2512,17.0
2522,17.0
2525,17.0
2535,18.0
2545,16.0
2555,18.0
2565,17.0
2575,16.0
2580,23.0
2590,18.0
2594,16.0
2604,27.0
2609,17.0
2612,19.0
2622,14.0
2632,15.0
2642,16.0
2644,19.0
2654,16.0
2664,18.0
2674,19.0
2680,17.0
2684,19.0
2694,36.0
2700,0.0
2710,24.0
2720,15.0
2730,17.0
2738,16.0
2748,17.0
2758,16.0
2764,0.0
2774,16.0
