timesteps,episode_reward
10,19.0
20,20.0
22,0.0
32,17.0
42,57.0
52,18.0
62,18.0
63,0.0
73,18.0
83,17.0
91,19.0
101,18.0
103,0.0
112,0.0
122,16.0
125,20.0
127,0.0
133,15.0
143,16.0
153,20.0
157,0.0
163,17.0
173,18.0
183,18.0
191,19.0
201,43.0
211,60.0
213,18.0
223,0.0
233,14.0
238,17.0
243,19.0
253,0.0
258,17.0
268,18.0
269,0.0
279,16.0
289,17.0
295,0.0
298,0.0
308,19.0
311,0.0
321,18.0
329,17.0
336,63.0
346,15.0
356,17.0
363,17.0
373,20.0
383,18.0
390,17.0
400,18.0
410,53.0
420,17.0
430,20.0
436,17.0
446,20.0
454,18.0
464,57.0
467,18.0
474,18.0
484,19.0
490,0.0
500,18.0
510,19.0
512,0.0
522,15.0
528,17.0
538,17.0
548,18.0
553,18.0
563,17.0
573,19.0
583,19.0
589,0.0
599,17.0
609,18.0
619,15.0
620,0.0
630,16.0
631,0.0
641,19.0
645,0.0
649,19.0
652,0.0
654,18.0
664,46.0
674,17.0
684,16.0
694,44.0
698,0.0
708,16.0
709,0.0
719,51.0
723,14.0
724,0.0
729,19.0
731,0.0
741,17.0
742,0.0
748,16.0
758,18.0
768,18.0
778,17.0
783,17.0
793,16.0
797,17.0
800,17.0
801,0.0
811,17.0
821,16.0
831,16.0
838,0.0
848,17.0
858,19.0
864,19.0
866,19.0
876,51.0
886,18.0
896,17.0
899,16.0
909,18.0
919,16.0
929,43.0
939,0.0
949,13.0
955,20.0
965,19.0
973,17.0
983,59.0
993,17.0
1003,19.0
1007,0.0
1010,18.0
1014,19.0
1021,18.0
1031,19.0
1041,19.0
1051,19.0
1054,0.0
1063,18.0
1073,20.0
1083,53.0
1093,0.0
1103,18.0
1113,18.0
1123,44.0
1133,0.0
1143,15.0
1153,17.0
1163,16.0
1173,20.0
1183,16.0
1193,0.0
1201,19.0
1211,18.0
1217,18.0
1222,18.0
1232,18.0
1242,0.0
1252,20.0
1262,18.0
1272,20.0
1280,19.0
1290,16.0
1300,16.0
1302,0.0
1312,53.0
1315,0.0
1319,18.0
1329,65.0
1332,18.0
1342,19.0
1352,18.0
1354,0.0
1364,18.0
1374,17.0
1384,18.0
1394,17.0
1404,19.0
1414,16.0
1424,50.0
1434,16.0
1444,17.0
1454,16.0
1464,20.0
1474,18.0
1484,16.0
1494,19.0
1504,17.0
1514,43.0
1524,15.0
1534,19.0
1535,19.0
1545,18.0
1555,17.0
1565,17.0
1569,16.0
1571,0.0
1576,16.0
1586,17.0
1596,19.0
1605,18.0
1611,0.0
1621,19.0
1631,16.0
1641,18.0
1651,19.0
1661,18.0
1671,52.0
1681,15.0
1686,20.0
1693,16.0
1703,19.0
1706,19.0
1715,18.0
1716,0.0
1725,17.0
1726,0.0
1734,19.0
1740,0.0
1750,19.0
1758,16.0
1768,19.0
1775,15.0
1785,51.0
1794,0.0
1804,18.0
1814,17.0
1823,17.0
1830,19.0
1840,20.0
1850,20.0
1851,0.0
1861,20.0
1868,16.0
1873,19.0
1883,18.0
1893,0.0
1903,16.0
1905,16.0
1911,17.0
1920,17.0
1929,19.0
1939,18.0
1949,16.0
1959,19.0
1960,0.0
1970,18.0
1980,20.0
1990,17.0
1999,18.0
2007,0.0
2014,19.0
2024,17.0
2027,0.0
2037,17.0
2041,0.0
2051,50.0
2061,54.0
2071,59.0
2081,18.0
2091,17.0
2095,19.0
2102,18.0
2112,18.0
2122,17.0
2124,0.0
2126,0.0
2136,18.0
2146,18.0
2156,19.0
2166,20.0
2175,18.0
2178,0.0
2183,16.0
2193,16.0
2200,18.0
2210,15.0
2220,0.0
2225,19.0
2235,18.0
2245,19.0
2255,18.0
2261,15.0
2262,18.0
2269,0.0
2277,19.0
2287,0.0
2297,18.0
2307,19.0
2317,18.0
2322,16.0
2332,17.0
2341,53.0
2346,0.0
2356,16.0
2359,0.0
2369,17.0
2379,17.0
2389,19.0
2399,17.0
2409,19.0
2410,0.0
2420,17.0
2430,15.0
2440,18.0
2446,19.0
2456,17.0
2466,18.0
2471,15.0
2481,16.0
2491,18.0
2496,17.0
2505,18.0
2515,18.0
2525,13.0
2535,18.0
2544,15.0
2546,0.0
2556,18.0
2566,19.0
2576,17.0
2586,52.0
2596,18.0
2606,15.0
2608,0.0
2618,19.0
2628,16.0
2634,18.0
2644,17.0
2649,19.0
2659,17.0
2669,18.0
2671,0.0
2674,17.0
2684,16.0
2690,19.0
2700,50.0
2701,0.0
2703,0.0
2708,17.0
2718,17.0
2728,18.0
2730,0.0
2731,0.0
2741,20.0
2751,18.0
2757,18.0
2766,16.0
2771,16.0
2776,20.0
2780,0.0
2783,19.0
2787,0.0
2797,19.0
2807,17.0
2817,19.0
2821,0.0
2829,20.0
2830,0.0
2836,19.0
2846,18.0
2848,0.0
2858,17.0
2868,17.0
2873,0.0
2880,0.0
2886,19.0
2891,19.0
2901,17.0
2911,18.0
2921,17.0
2931,57.0
2936,18.0
2946,20.0
2956,0.0
2966,20.0
2971,0.0
2981,0.0
2991,18.0
3001,16.0
3010,0.0
3020,19.0
3030,18.0
3035,17.0
3045,19.0
3053,20.0
3063,17.0
3064,0.0
3068,17.0
3078,0.0
3088,16.0
3098,54.0
3102,18.0
3104,0.0
3111,17.0
3119,16.0
3125,17.0
3135,19.0
3145,32.0
3155,17.0
3164,17.0
3166,17.0
3176,17.0
3178,0.0
3188,18.0
3198,53.0
3202,0.0
3204,17.0
3214,18.0
3217,18.0
3227,17.0
3237,19.0
3247,18.0
3253,0.0
3263,17.0
3269,17.0
3276,15.0
3278,0.0
3284,18.0
3294,50.0
3304,18.0
3314,52.0
3322,17.0
3326,19.0
3336,19.0
3346,44.0
3352,18.0
3362,19.0
3372,19.0
3382,56.0
3392,20.0
3402,54.0
3410,19.0
3418,18.0
3428,17.0
3438,18.0
3447,59.0
3457,17.0
3463,15.0
3473,17.0
3483,18.0
3493,17.0
3503,54.0
3504,0.0
3514,16.0
3524,19.0
3534,18.0
3544,19.0
3547,15.0
3557,17.0
3558,0.0
3568,53.0
3578,18.0
3588,17.0
3598,18.0
3608,17.0
3618,17.0
3621,15.0
3631,48.0
3641,0.0
3651,18.0
3661,18.0
3666,18.0
3668,0.0
3678,19.0
3681,16.0
3691,18.0
3701,48.0
3703,0.0
3713,51.0
3716,17.0
3726,45.0
3729,0.0
3732,0.0
3742,62.0
3748,20.0
3758,18.0
3768,20.0
3778,17.0
3779,0.0
3789,18.0
3799,18.0
3809,19.0
3819,54.0
3829,15.0
3835,18.0
3836,18.0
3839,18.0
3843,0.0
3853,61.0
3863,19.0
3873,19.0
3876,0.0
3886,60.0
3896,18.0
3906,15.0
3914,17.0
3916,0.0
3925,19.0
3935,17.0
3936,17.0
3942,17.0
3945,0.0
3950,17.0
3951,0.0
3956,17.0
3966,17.0
3976,49.0
3981,13.0
3989,19.0
3990,0.0
4000,13.0
4010,17.0
4020,49.0
4021,0.0
4031,18.0
4037,18.0
4047,19.0
4057,18.0
4067,16.0
4077,15.0
4080,0.0
4090,17.0
4100,17.0
4110,43.0
4120,19.0
4130,15.0
4140,18.0
4150,17.0
4154,0.0
4164,17.0
4174,54.0
4184,17.0
4194,18.0
4197,0.0
4207,16.0
4217,19.0
4224,18.0
4226,17.0
4233,19.0
4241,18.0
4242,0.0
4252,19.0
4262,15.0
4272,18.0
4282,18.0
4288,17.0
4298,18.0
4300,0.0
4302,0.0
4312,17.0
4322,18.0
4332,18.0
4333,0.0
4335,0.0
4345,52.0
4355,18.0
4359,18.0
4369,15.0
4379,19.0
4386,18.0
4396,55.0
4406,19.0
4416,20.0
4417,0.0
4420,19.0
4430,17.0
4440,18.0
4450,17.0
4460,20.0
4468,18.0
4478,19.0
4480,17.0
4490,20.0
4500,54.0
4510,19.0
4520,17.0
4530,18.0
4540,0.0
4550,16.0
4556,17.0
4566,17.0
4576,0.0
4581,0.0
4586,18.0
4594,19.0
4597,17.0
4600,0.0
4610,18.0
4613,0.0
4623,17.0
4628,19.0
4633,18.0
4643,54.0
4645,18.0
4655,17.0
4665,51.0
4675,19.0
4685,57.0
4695,16.0
4705,58.0
4715,17.0
4716,16.0
4726,18.0
4736,17.0
4739,0.0
4749,20.0
4758,15.0
4762,0.0
4772,18.0
4778,16.0
